sample_id,url,page_class,selection_reason,gsc_url_inspection,bing_url_inspection,indexed,last_crawl,crawler,crawl_allowed,fetch,indexing_allowed,user_declared_canonical,google_selected_canonical,referring_sitemap,referring_pages,enhancements,mobile_usability,private_screenshot_reference
UI-011,https://www.suvroghosh.in/images/sketches,media,High-view interactive media route,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-012,https://www.suvroghosh.in/blog/visualizations/hello-fragment-your-first-shader-from-scratch,article,Exact-title discovery and traffic candidate,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-013,https://www.suvroghosh.in/blog/visualizations/gradient-descent-landscapes,article,Fresh non-brand discoverability and anomalous views,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-014,https://www.suvroghosh.in/blog/visualizations/create-art-living-pigment-studio,article,Interactive article with observed traffic,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-015,https://www.suvroghosh.in/blog/visualizations/how-a-scanner-sees-reconstructing-a-body-from-shadows,article,Healthcare/science interactive candidate,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-016,https://www.suvroghosh.in/blog/healthcare-it/hl7-vs-fhir-explained-simply,article,Competitive professional non-brand page,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-017,https://www.suvroghosh.in/blog/healthcare-it/explaining-the-healthcare-it-gap-as-continuity,article,Professional authority candidate,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-018,https://www.suvroghosh.in/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,article,Experience-led professional authority candidate,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-019,https://www.suvroghosh.in/blog/healthcare-science/find-study-diabetes-kidney-family-tree,article,Evidence-sensitive healthcare candidate,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-020,https://www.suvroghosh.in/blog/science/spudcell-and-the-border-of-life,article,Scientific explainer with public discovery evidence,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-021,https://www.suvroghosh.in/blog/personal-essay/the-century-has-a-hole-in-it,article,Observed essay audience candidate,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-022,https://www.suvroghosh.in/blog/short-fiction/the-berry-eater,article,Fiction class control sample,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-023,https://www.suvroghosh.in/robots.txt,control,Crawl policy control,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-024,https://www.suvroghosh.in/sitemap.xml,control,Primary sitemap discovery control,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-025,https://www.suvroghosh.in/blog/healthcare/nightmare-of-indian-healthcare,healthcare_article,Healthcare sample with observed relative traffic and high evidence requirement,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-026,https://www.suvroghosh.in/blog/healthcare-it/chatgpt-enters-healthcare-compliance-is-the-easy-part,healthcare_article,Healthcare AI sample with observed relative traffic,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-027,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,scientific_explainer,Statistics and healthcare analytics sample,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-028,https://www.suvroghosh.in/blog/healthcare-it/poisson-distribution-healthcare-it,mathematical_explainer,Mathematics in healthcare sample,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-029,https://www.suvroghosh.in/blog/healthcare-it/the-linear-algebra-blind-spot-healthcare-ai-safety,mathematical_explainer,Technical mathematical healthcare sample,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-030,https://www.suvroghosh.in/blog/math/lu-factorization,mathematical_explainer,Older standalone mathematical explainer,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-031,https://www.suvroghosh.in/blog/visualizations/artificial-life-lab-evolve-a-digital-ecosystem-in-your-browser,interactive_visualization,High-relative-traffic simulation sample,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-032,https://www.suvroghosh.in/blog/visualizations/spacetime-laboratory-einstein-equations,interactive_visualization,Physics laboratory sample,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-033,https://www.suvroghosh.in/blog/polemic/ai-leaderboard-ichor,essay,Highest relative essay visitor count in available page table,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
